GEO_ID,NAME,Total,Total_forprofit,Total_nonprofit,Total_localGov,Total_stateGov,Total_fedGov,Total_selfEmpNotincorp,Total_UnpaidFamily,Total_DroveAlone,Total_Carpooled,Total_PublicTransport,Total_Walked,Total_CabBikeOther,Total_WorkFromHome,Total_AllGov,perc_AllGov,perc_UnpaidFAm,perc_ForProfit,perc_NonProfit,perc_WFH,perc_Walk,perc_PubTrans,perc_DroveAlone,perc_Carpool
0400000US16,Idaho,900173,626970,65406,63661,42614,30724,68795,2003,635399,92992,5617,24729,16394,125042,136999,15.219185645425934,0.22251278365380878,69.64994506611507,7.265936658842246,13.89088541869174,2.7471386055791496,0.6239911661425082,70.586320629479,10.330458700716418
0400000US17,Illinois,6220680,4496585,593003,478034,212823,150248,280651,9336,4113560,509392,414373,183682,125711,873962,841105,13.521110232321867,0.15008005555662726,72.28446086279956,9.53276812181305,14.049300076518968,2.952764006507327,6.661217101667343,66.12717580714649,8.188686767363054
0400000US18,Indiana,3281665,2383954,337932,216115,111611,74450,151611,5992,2498341,311821,20459,62039,43517,345488,402176,12.255242384582218,0.18259024001535806,72.64464837209161,10.297577601613815,10.52782657583879,1.8904732810935914,0.6234335314543076,76.1302875217306,9.501914424537544
0400000US19,Iowa,1630590,1141231,142157,125754,82868,30906,104706,2968,1241090,136391,12082,44761,25580,170686,239528,14.689652211776105,0.18202000502885457,69.98883839591804,8.718132700433586,10.46774480402799,2.7450800017171697,0.7409587940561392,76.11294071471063,8.364518364518364
0400000US20,Kansas,1493417,1009312,127467,135103,73216,60716,84753,2850,1148297,129570,5728,36548,19819,153455,269035,18.014727299876725,0.19083752227274767,67.58407062461455,8.535258404049237,10.275428765040173,2.4472736014120637,0.3835499395011574,76.89058046078222,8.676076407326287
0400000US21,Kentucky,2072858,1453329,179603,144637,109348,73851,108230,3860,1592700,203514,13510,38206,29591,195337,327836,15.815651626884234,0.1862163254791211,70.11232800317244,8.664510545343674,9.423559163242249,1.8431556816723575,0.6517571391769238,76.83594341725289,9.818038669315506
0400000US22,Louisiana,2023176,1404823,155099,154359,108513,67392,129642,3348,1593180,174258,15737,38043,39490,162468,330264,16.324037058565345,0.16548239006393906,69.43651961075062,7.666115058699787,8.03034436944685,1.880360383871695,0.7778364314325595,78.7464857234368,8.61309149574728
0400000US23,Maine,689383,437656,92341,50509,30305,21029,56242,1301,497099,54925,4688,23193,9961,99517,101843,14.773065190177304,0.18871947814204876,63.485174424086466,13.394731230680188,14.435662034021727,3.3643127260173227,0.6800283731974823,72.1078123481432,7.967269282822466
0400000US24,Maryland,2943904,1833405,286279,233421,141093,297899,147423,4384,1941533,244734,88631,69599,63209,536198,672413,22.840860299792386,0.1489178994967227,62.2780158592128,9.72446791743209,18.213841212213442,2.3641735600073917,3.01066203245758,65.95096171614291,8.313246627607422
0400000US25,Massachusetts,3774940,2567180,524159,258457,141596,73148,206041,4359,2393098,269981,272122,155996,108862,574881,473201,12.535325064769243,0.11547203399259326,68.00584909958833,13.88522731487123,15.228877809978435,4.1324100515504885,7.208644375804648,63.394332095344566,7.1519282425680935
0400000US26,Michigan,4706930,3434096,482259,295888,166846,81957,238227,7657,3528646,395212,43278,95297,65635,578862,544691,11.572107509565683,0.162675034470451,72.95829765898367,10.245722795962548,12.29807964002014,2.024610521082744,0.919452806818882,74.96703796317344,8.396385754621377
0400000US27,Minnesota,3016763,2085733,367719,239540,111818,47124,161060,3769,2109811,240932,51878,78809,51517,483816,398482,13.208926256388057,0.12493523687475616,69.13811260612782,12.189190864512724,16.03758730798541,2.6123696160420957,1.7196577921434333,69.93625286441129,7.986441095969421
0400000US28,Mississippi,1216248,825648,87195,84987,90570,53945,71336,2567,972685,126987,2463,18861,14496,80756,229502,18.869671317034026,0.21105892877110588,67.88483927620025,7.169179312113977,6.639764258605154,1.5507528069933105,0.20250804112319198,79.9742322289533,10.4408804783235
0400000US29,Missouri,3062418,2144362,325254,198720,123041,92673,171987,6381,2298933,259685,23211,56257,43976,380356,414434,13.53290112584239,0.20836476274630047,70.02185854445734,10.620823153468924,12.420120310160142,1.8370124522517826,0.7579304980574173,75.0692100163988,8.479737253372988
0400000US30,Montana,551607,351641,54443,42952,29398,26259,45440,1474,398876,52554,3121,23180,10882,62994,98609,17.876676691920153,0.26721923398361513,63.748465846154964,9.869889250861572,11.420087127248204,4.2022671938535945,0.5658013767047917,72.31162766244809,9.527435293605773
