GEO_ID,State,Year_Date,Year,Total,MOE_Total,MOE_Total_display,Total_forprofit,Total_nonprofit,Total_localGov,Total_stateGov,Total_fedGov,Total_selfEmpNotincorp,Total_UnpaidFamily,Total_DroveAlone,Total_Carpooled,Total_PublicTransport,Total_Walked,Total_CabBikeOther,Total_WorkFromHome,MOE_Total_WorkFromHome,MOE_Total_WorkFromHome_display,ForProfit_WFH,NonProfit_WFH,LocalGov_WFH,StateGov_WFH,FedGov_WFH,SelfEmpNotInc_WFH,UnpaidFamily_WFH,Total_AllGov,perc_AllGov,perc_UnpaidFAm,perc_ForProfit,perc_NonProfit,perc_WFH,perc_Walk,perc_PubTrans,perc_DroveAlone,perc_Carpool,perc_WFH_AllGov,perc_WFH_ForProfit,perc_WFH_NonProfit,perc_WFH_SelfEmpNotInc,perc_WFH_UnpaidFamily,perc_MOE_WFH,perc_MOE_WFH_display,Perc_WFH_MOE_display_complete,MOE_Total_WorkFromHome_display_complete,GEOIDFQ
0400000US28,Mississippi,2023-01-01,2023,1216248,16287,±16287,825648,87195,84987,90570,53945,71336,2567,972685,126987,2463,18861,14496,80756,5983,±5983,54239,4872,1528,3154,3678,13087,198,229502,18.87,0.21,67.88,7.17,6.64,1.55,0.2,79.97,10.44,3.64,6.57,5.59,18.35,7.71,0.48382041076247284,±0.483820410762473,6.6%  ±0.5 pp,"80,756  ±5,983",0400000US28
0400000US29,Missouri,2023-01-01,2023,3062418,21837,±21837,2144362,325254,198720,123041,92673,171987,6381,2298933,259685,23211,56257,43976,380356,12590,±12590,276072,30824,5205,11194,14713,40488,1860,414434,13.53,0.21,70.02,10.62,12.42,1.84,0.76,75.07,8.48,7.51,12.87,9.48,23.54,29.15,0.40146041138989214,±0.401460411389892,12.4%  ±0.4 pp,"380,356  ±12,590",0400000US29
0400000US30,Montana,2023-01-01,2023,551607,6743,±6743,351641,54443,42952,29398,26259,45440,1474,398876,52554,3121,23180,10882,62994,4257,±4257,41147,4420,736,3267,2811,10274,339,98609,17.88,0.27,63.75,9.87,11.42,4.2,0.57,72.31,9.53,6.91,11.7,8.12,22.61,23,0.7590136216812114,±0.759013621681211,11.4%  ±0.8 pp,"62,994  ±4,257",0400000US30
0400000US31,Nebraska,2023-01-01,2023,1047095,8437,±8437,712756,102507,77730,52228,31417,67454,3003,806043,89395,5009,24344,17891,104413,4935,±4935,73973,7662,2249,3935,2677,13727,190,161375,15.41,0.29,68.07,9.79,9.97,2.32,0.48,76.98,8.54,5.49,10.38,7.47,20.35,6.33,0.46440471674621026,±0.46440471674621,10%  ±0.5 pp,"104,413  ±4,935",0400000US31
0400000US32,Nevada,2023-01-01,2023,1536949,13604,±13604,1174300,75212,101253,45131,55777,81478,3798,1073308,186339,35133,24534,39256,178379,8285,±8285,134472,8151,3874,4056,4062,22670,1094,202161,13.15,0.25,76.4,4.89,11.61,1.6,2.29,69.83,12.12,5.93,11.45,10.84,27.82,28.8,0.5291758632977072,±0.529175863297707,11.6%  ±0.5 pp,"178,379  ±8,285",0400000US32
0400000US33,New Hampshire,2023-01-01,2023,721147,9393,±9393,506293,85421,46187,23201,14453,44638,954,513864,49585,3336,18773,13796,121793,5518,±5518,89587,12869,1655,2170,2403,13007,102,83841,11.63,0.13,70.21,11.85,16.89,2.6,0.46,71.26,6.88,7.43,17.69,15.07,29.14,10.69,0.7328674826615844,±0.732867482661584,16.9%  ±0.7 pp,"121,793  ±5,518",0400000US33
0400000US34,New Jersey,2023-01-01,2023,4321453,24046,±24046,3144076,334966,378420,158962,77118,219992,7919,2890946,369407,164746,118422,120607,657325,13640,±13640,513444,45371,14460,14113,11959,56296,1682,614500,14.22,0.18,72.76,7.75,15.21,2.74,3.81,66.9,8.55,6.6,16.33,13.54,25.59,21.24,0.30407509307531694,±0.304075093075317,15.2%  ±0.3 pp,"657,325  ±13,640",0400000US34
0400000US35,New Mexico,2023-01-01,2023,938405,12838,±12838,563292,83689,77887,74344,79749,57709,1735,701943,94097,6563,17036,17548,101218,6217,±6217,62331,8617,1972,5171,8030,15003,94,231980,24.72,0.18,60.03,8.92,10.79,1.82,0.7,74.8,10.03,6.54,11.07,10.3,26,5.42,0.6458646548416986,±0.645864654841699,10.8%  ±0.6 pp,"101,218  ±6,217",0400000US35
0400000US36,New York,2023-01-01,2023,9861756,37528,±37528,6586899,1143204,940171,421058,216943,536450,17031,4728345,620293,2533371,546083,264542,1169122,21725,±21725,827114,127112,37344,23274,22430,128861,2987,1578172,16,0.17,66.79,11.59,11.86,5.54,25.69,47.95,6.29,5.26,12.56,11.12,24.02,17.54,0.2156266597159257,±0.215626659715926,11.9%  ±0.2 pp,"1,169,122  ±21,725",0400000US36
0400000US37,North Carolina,2023-01-01,2023,5248923,28220,±28220,3747696,403917,323984,252870,220908,291457,8091,3753427,445895,33447,90881,80274,844999,18373,±18373,632421,62020,13491,27325,25371,82327,2044,797762,15.2,0.15,71.4,7.7,16.1,1.73,0.64,71.51,8.49,8.3,16.87,15.35,28.25,25.26,0.3391644132176258,±0.339164413217626,16.1%  ±0.3 pp,"844,999  ±18,373",0400000US37
